Sepal_Length,Sepal_Width,Petal_Length,Petal_Width,Species
6.6,2.9,4.6,1.3,Iris-versicolor
5.2,2.7,3.9,1.4,Iris-versicolor
5,2,3.5,1,Iris-versicolor
5.9,3,4.2,1.5,Iris-versicolor
6,2.2,4,1,Iris-versicolor
6.1,2.9,4.7,1.4,Iris-versicolor
5.6,2.9,3.6,1.3,Iris-versicolor
6.7,3.1,4.4,1.4,Iris-versicolor
5.6,3,4.5,1.5,Iris-versicolor
5.8,2.7,4.1,1,Iris-versicolor
6.2,2.2,4.5,1.5,Iris-versicolor
5.6,2.5,3.9,1.1,Iris-versicolor
5.9,3.2,4.8,1.8,Iris-versicolor
6.1,2.8,4,1.3,Iris-versicolor
6.3,2.5,4.9,1.5,Iris-versicolor
6.1,2.8,4.7,1.2,Iris-versicolor
6.4,2.9,4.3,1.3,Iris-versicolor
6.6,3,4.4,1.4,Iris-versicolor
6.8,2.8,4.8,1.4,Iris-versicolor
6.7,3,5,1.7,Iris-versicolor
6,2.9,4.5,1.5,Iris-versicolor
5.7,2.6,3.5,1,Iris-versicolor
5.5,2.4,3.8,1.1,Iris-versicolor
5.5,2.4,3.7,1,Iris-versicolor
5.8,2.7,3.9,1.2,Iris-versicolor
6,2.7,5.1,1.6,Iris-versicolor
5.4,3,4.5,1.5,Iris-versicolor
6,3.4,4.5,1.6,Iris-versicolor
6.7,3.1,4.7,1.5,Iris-versicolor
6.3,2.3,4.4,1.3,Iris-versicolor
5.6,3,4.1,1.3,Iris-versicolor
5.5,2.5,4,1.3,Iris-versicolor
5.5,2.6,4.4,1.2,Iris-versicolor
6.1,3,4.6,1.4,Iris-versicolor
5.8,2.6,4,1.2,Iris-versicolor
5,2.3,3.3,1,Iris-versicolor
5.6,2.7,4.2,1.3,Iris-versicolor
5.7,3,4.2,1.2,Iris-versicolor
5.7,2.9,4.2,1.3,Iris-versicolor
6.2,2.9,4.3,1.3,Iris-versicolor
5.1,2.5,3,1.1,Iris-versicolor
5.7,2.8,4.1,1.3,Iris-versicolor
6.3,3.3,6,2.5,Iris-virginica
5.8,2.7,5.1,1.9,Iris-virginica
7.1,3,5.9,2.1,Iris-virginica
6.3,2.9,5.6,1.8,Iris-virginica
6.5,3,5.8,2.2,Iris-virginica
7.6,3,6.6,2.1,Iris-virginica
4.9,2.5,4.5,1.7,Iris-virginica
7.3,2.9,6.3,1.8,Iris-virginica
6.7,2.5,5.8,1.8,Iris-virginica
7.2,3.6,6.1,2.5,Iris-virginica
6.5,3.2,5.1,2,Iris-virginica
6.4,2.7,5.3,1.9,Iris-virginica
6.8,3,5.5,2.1,Iris-virginica
5.7,2.5,5,2,Iris-virginica
5.8,2.8,5.1,2.4,Iris-virginica
6.4,3.2,5.3,2.3,Iris-virginica
6.5,3,5.5,1.8,Iris-virginica
7.7,3.8,6.7,2.2,Iris-virginica
7.7,2.6,6.9,2.3,Iris-virginica
6,2.2,5,1.5,Iris-virginica
6.9,3.2,5.7,2.3,Iris-virginica
5.6,2.8,4.9,2,Iris-virginica
7.7,2.8,6.7,2,Iris-virginica
6.3,2.7,4.9,1.8,Iris-virginica
6.7,3.3,5.7,2.1,Iris-virginica
7.2,3.2,6,1.8,Iris-virginica
6.2,2.8,4.8,1.8,Iris-virginica
6.1,3,4.9,1.8,Iris-virginica
6.4,2.8,5.6,2.1,Iris-virginica
7.2,3,5.8,1.6,Iris-virginica
7.4,2.8,6.1,1.9,Iris-virginica
7.9,3.8,6.4,2,Iris-virginica
6.4,2.8,5.6,2.2,Iris-virginica
6.3,2.8,5.1,1.5,Iris-virginica
6.1,2.6,5.6,1.4,Iris-virginica
7.7,3,6.1,2.3,Iris-virginica
6.3,3.4,5.6,2.4,Iris-virginica
6.4,3.1,5.5,1.8,Iris-virginica
6,3,4.8,1.8,Iris-virginica
6.9,3.1,5.4,2.1,Iris-virginica
6.7,3.1,5.6,2.4,Iris-virginica
6.9,3.1,5.1,2.3,Iris-virginica
5.8,2.7,5.1,1.9,Iris-virginica
6.8,3.2,5.9,2.3,Iris-virginica
6.7,3.3,5.7,2.5,Iris-virginica
6.7,3,5.2,2.3,Iris-virginica
6.3,2.5,5,1.9,Iris-virginica
6.5,3,5.2,2,Iris-virginica
6.2,3.4,5.4,2.3,Iris-virginica
5.9,3,5.1,1.8,Iris-virginica
 x x_kde0.3 x_kde0.6 x_kde1.0 x_kde1.5 x_kde2.0
   -10.000     0.000     0.000     0.000     0.000     0.000
    -9.900     0.000     0.000     0.000     0.000     0.000
    -9.800     0.000     0.000     0.000     0.000     0.000
    -9.700     0.000     0.000     0.000     0.000     0.000
    -9.600     0.000     0.000     0.000     0.000     0.000
    -9.500     0.000     0.000     0.000     0.000     0.000
    -9.400     0.000     0.000     0.000     0.000     0.000
    -9.300     0.000     0.000     0.000     0.000     0.000
    -9.200     0.000     0.000     0.000     0.000     0.000
    -9.100     0.000     0.000     0.000     0.000     0.000
    -9.000     0.000     0.000     0.000     0.000     0.000
    -8.900     0.000     0.000     0.000     0.000     0.000
    -8.800     0.000     0.000     0.000     0.000     0.000
    -8.700     0.000     0.000     0.000     0.000     0.000
    -8.600     0.000     0.000     0.000     0.000     0.000
    -8.500     0.000     0.000     0.000     0.000     0.000
    -8.400     0.000     0.000     0.000     0.000     0.000
    -8.300     0.000     0.000     0.000     0.000     0.000
    -8.200     0.000     0.000     0.000     0.000     0.000
    -8.100     0.000     0.000     0.000     0.000     0.000
    -8.000     0.000     0.000     0.000     0.000     0.000
    -7.900     0.000     0.000     0.000     0.000     0.000
    -7.800     0.000     0.000     0.000     0.000     0.000
    -7.700     0.000     0.000     0.000     0.000     0.000
    -7.600     0.000     0.000     0.000     0.000     0.000
    -7.500     0.000     0.000     0.000     0.000     0.000
    -7.400     0.000     0.000     0.000     0.000     0.000
    -7.300     0.000     0.000     0.000     0.000     0.000
    -7.200     0.000     0.000     0.000     0.000     0.000
    -7.100     0.000     0.000     0.000     0.000     0.000
    -7.000     0.000     0.000     0.000     0.000     0.000
    -6.900     0.000     0.000     0.000     0.000     0.000
    -6.800     0.000     0.000     0.000     0.000     0.000
    -6.700     0.000     0.000     0.000     0.000     0.000
    -6.600     0.000     0.000     0.000     0.000     0.000
    -6.500     0.000     0.000     0.000     0.000     0.000
    -6.400     0.000     0.000     0.000     0.000     0.000
    -6.300     0.000     0.000     0.000     0.000     0.000
    -6.200     0.000     0.000     0.000     0.000     0.000
    -6.100     0.000     0.000     0.000     0.000     0.000
    -6.000     0.000     0.000     0.000     0.000     0.000
    -5.900     0.000     0.000     0.000     0.000     0.000
    -5.800     0.000     0.000     0.000     0.000     0.000
    -5.700     0.000     0.000     0.000     0.000     0.000
    -5.600     0.000     0.000     0.000     0.000     0.000
    -5.500     0.000     0.000     0.000     0.000     0.000
    -5.400     0.000     0.000     0.000     0.000     0.000
    -5.300     0.000     0.000     0.000     0.000     0.000
    -5.200     0.000     0.000     0.000     0.000     0.000
    -5.100     0.000     0.000     0.000     0.000     0.000
    -5.000     0.000     0.000     0.000     0.000     0.000
    -4.900     0.000     0.000     0.000     0.000     0.000
    -4.800     0.000     0.000     0.000     0.000     0.000
    -4.700     0.000     0.000     0.000     0.000     0.000
    -4.600     0.000     0.000     0.000     0.000     0.000
    -4.500     0.000     0.000     0.000     0.000     0.000
    -4.400     0.000     0.000     0.000     0.000     0.000
    -4.300     0.000     0.000     0.000     0.000     0.000
    -4.200     0.000     0.000     0.000     0.000     0.000
    -4.100     0.000     0.000     0.000     0.000     0.000
    -4.000     0.000     0.000     0.000     0.000     0.000
    -3.900     0.000     0.000     0.000     0.000     0.000
    -3.800     0.000     0.000     0.000     0.000     0.000
    -3.700     0.000     0.000     0.000     0.000     0.000
    -3.600     0.000     0.000     0.000     0.000     0.000
    -3.500     0.000     0.000     0.000     0.000     0.000
    -3.400     0.000     0.000     0.000     0.000     0.000
    -3.300     0.000     0.000     0.000     0.000     0.000
    -3.200     0.000     0.000     0.000     0.000     0.000
    -3.100     0.000     0.000     0.000     0.000     0.000
    -3.000     0.000     0.000     0.000     0.000     0.000
    -2.900     0.000     0.000     0.000     0.000     0.000
    -2.800     0.000     0.000     0.000     0.000     0.000
    -2.700     0.000     0.000     0.000     0.000     0.000
    -2.600     0.000     0.000     0.000     0.000     0.000
    -2.500     0.000     0.000     0.000     0.000     0.000
    -2.400     0.000     0.000     0.000     0.000     0.000
    -2.300     0.000     0.000     0.000     0.000     0.000
    -2.200     0.000     0.000     0.000     0.000     0.000
    -2.100     0.000     0.000     0.000     0.000     0.000
    -2.000     0.000     0.000     0.000     0.000     0.000
    -1.900     0.000     0.000     0.000     0.000     0.000
    -1.800     0.000     0.000     0.000     0.000     0.000
    -1.700     0.000     0.000     0.000     0.000     0.000
    -1.600     0.000     0.000     0.000     0.000     0.000
    -1.500     0.000     0.000     0.000     0.000     0.000
    -1.400     0.000     0.000     0.000     0.000     0.000
    -1.300     0.000     0.000     0.000     0.000     0.000
    -1.200     0.000     0.000     0.000     0.000     0.000
    -1.100     0.000     0.000     0.000     0.000     0.000
    -1.000     0.000     0.000     0.000     0.000     0.001
    -0.900     0.000     0.000     0.000     0.000     0.001
    -0.800     0.000     0.000     0.000     0.000     0.001
    -0.700     0.000     0.000     0.000     0.000     0.001
    -0.600     0.000     0.000     0.000     0.000     0.001
    -0.500     0.000     0.000     0.000     0.000     0.002
    -0.400     0.000     0.000     0.000     0.000     0.002
    -0.300     0.000     0.000     0.000     0.000     0.003
    -0.200     0.000     0.000     0.000     0.000     0.003
    -0.100     0.000     0.000     0.000     0.000     0.004
     0.000     0.000     0.000     0.000     0.001     0.005
     0.100     0.000     0.000     0.000     0.001     0.006
     0.200     0.000     0.000     0.000     0.001     0.007
     0.300     0.000     0.000     0.000     0.001     0.008
     0.400     0.000     0.000     0.000     0.001     0.010
     0.500     0.000     0.000     0.000     0.002     0.011
     0.600     0.000     0.000     0.000     0.002     0.013
     0.700     0.000     0.000     0.000     0.003     0.016
     0.800     0.000     0.000     0.000     0.004     0.019
     0.900     0.000     0.000     0.000     0.005     0.022
     1.000     0.000     0.000     0.000     0.006     0.025
     1.100     0.000     0.000     0.000     0.007     0.029
     1.200     0.000     0.000     0.000     0.009     0.034
     1.300     0.000     0.000     0.000     0.011     0.039
     1.400     0.000     0.000     0.000     0.013     0.044
     1.500     0.000     0.000     0.001     0.016     0.050
     1.600     0.000     0.000     0.001     0.019     0.057
     1.700     0.000     0.000     0.001     0.022     0.064
     1.800     0.000     0.000     0.001     0.026     0.071
     1.900     0.000     0.000     0.002     0.031     0.080
     2.000     0.000     0.000     0.002     0.036     0.089
     2.100     0.000     0.000     0.003     0.042     0.098
     2.200     0.000     0.000     0.004     0.049     0.108
     2.300     0.000     0.000     0.005     0.056     0.119
     2.400     0.000     0.000     0.007     0.064     0.130
     2.500     0.000     0.000     0.009     0.073     0.141
     2.600     0.000     0.000     0.011     0.082     0.153
     2.700     0.000     0.000     0.014     0.093     0.165
     2.800     0.000     0.000     0.017     0.103     0.178
     2.900     0.000     0.000     0.021     0.115     0.190
     3.000     0.000     0.000     0.026     0.127     0.202
     3.100     0.000     0.000     0.031     0.140     0.215
     3.200     0.000     0.001     0.037     0.153     0.227
     3.300     0.000     0.001     0.044     0.166     0.239
     3.400     0.000     0.001     0.052     0.180     0.250
     3.500     0.000     0.002     0.061     0.194     0.261
     3.600     0.000     0.003     0.070     0.208     0.271
     3.700     0.000     0.005     0.081     0.221     0.280
     3.800     0.000     0.008     0.092     0.235     0.289
     3.900     0.000     0.011     0.104     0.247     0.296
     4.000     0.000     0.016     0.117     0.260     0.302
     4.100     0.000     0.023     0.131     0.271     0.308
     4.200     0.003     0.032     0.145     0.281     0.312
     4.300     0.014     0.045     0.159     0.291     0.315
     4.400     0.076     0.061     0.174     0.299     0.316
     4.500     0.395     0.082     0.188     0.306     0.316
     4.600     2.003     0.110     0.203     0.311     0.315
     4.700     9.847     0.145     0.217     0.315     0.313
     4.800    46.924     0.189     0.230     0.318     0.309
     4.900   216.870     0.243     0.243     0.318     0.305
     5.000   972.282     0.309     0.255     0.318     0.299
     5.100  4229.743     0.389     0.266     0.316     0.292
     5.200 17860.723     0.484     0.276     0.312     0.284
     5.300 73237.547     0.596     0.284     0.307     0.275
     5.400291753.719     0.726     0.291     0.300     0.265
     5.500**********     0.875     0.297     0.292     0.255
     5.600**********     1.044     0.301     0.283     0.244
     5.700**********     1.234     0.303     0.273     0.232
     5.800**********     1.445     0.303     0.262     0.220
     5.900**********     1.677     0.302     0.251     0.208
     6.000**********     1.931     0.299     0.238     0.196
     6.100**********     2.206     0.294     0.225     0.184
     6.200**********     2.502     0.288     0.212     0.171
     6.300**********     2.819     0.281     0.199     0.159
     6.400**********     3.156     0.272     0.185     0.147
     6.500**********     3.513     0.263     0.172     0.136
     6.600**********     3.891     0.252     0.159     0.125
     6.700**********     4.289     0.240     0.146     0.114
     6.800**********     4.708     0.228     0.133     0.104
     6.900**********     5.149     0.215     0.121     0.094
     7.000**********     5.612     0.202     0.110     0.085
     7.100**********     6.097     0.188     0.099     0.077
     7.200**********     6.604     0.175     0.089     0.069
     7.300**********     7.131     0.162     0.079     0.061
     7.400**********     7.678     0.148     0.070     0.054
     7.500**********     8.241     0.135     0.062     0.048
     7.600**********     8.816     0.123     0.055     0.042
     7.700**********     9.400     0.111     0.048     0.037
     7.800**********     9.986     0.100     0.041     0.033
     7.900**********    10.567     0.089     0.036     0.028
     8.000**********    11.135     0.079     0.031     0.025
     8.100**********    11.683     0.070     0.026     0.021
     8.200**********    12.202     0.061     0.023     0.018
     8.300**********    12.685     0.054     0.019     0.016
     8.400**********    13.124     0.046     0.016     0.013
     8.500**********    13.512     0.040     0.014     0.011
     8.600**********    13.846     0.034     0.011     0.009
     8.700**********    14.123     0.029     0.009     0.008
     8.800**********    14.339     0.025     0.008     0.007
     8.900**********    14.497     0.021     0.006     0.006
     9.000**********    14.595     0.017     0.005     0.005
     9.100**********    14.637     0.014     0.004     0.004
     9.200**********    14.624     0.012     0.003     0.003
     9.300**********    14.559     0.010     0.003     0.003
     9.400**********    14.442     0.008     0.002     0.002
     9.500**********    14.274     0.006     0.002     0.002
     9.600**********    14.055     0.005     0.001     0.001
     9.700**********    13.781     0.004     0.001     0.001
     9.800**********    13.451     0.003     0.001     0.001
     9.900**********    13.062     0.003     0.001     0.001
